Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,144.2339,-100.7161,90,top
C2,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.2096,-104.521,180,top
D1,STATUS,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.6868,-102.6668,0,top
D2,POWER,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.6868,-97.276901,0,top
D3,FAULT,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.6868,-99.97185,0,top
R1,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.7283,-102.6668,0,top
R2,36k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.744925,-100.7161,270,top
R3,9k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,146.99595,-100.7161,90,top
R4,18k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,148.246975,-100.7161,90,top
R6,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.7283,-97.276901,0,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.4409,-98.3865,270,top
R9,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.7283,-99.97185,0,top
S1,CAL,SW_Push_1P1T_NO_6x6mm_H9.5mm,127.1524,-109.0168,270,top
S2,RSET,SW_Push_1P1T_NO_6x6mm_H9.5mm,134.60285,-109.0168,90,top
U1,ATtiny84-20SSU,SOIC-14_3.9x8.7mm_P1.27mm,143.256,-106.807,90,top
U2,DS2431,TSOC-6_3.76x3.94mm_P1.27mm,150.6855,-106.807,0,top
